id,pwd,email,displayName
kgallagher2,securepasswordlol,k.gallagher@fct.unl.pt,"Kevin Gallagher"
sduarte,F1n$nVSQ)7js_~w,smd@fct.unl.pt,"Sérgio Duarte"
sDent,riZv02g5@KkK&pq,s.dent@campus.fct.unl.pt,"Stew Dent"
mjones23,QwErTy123!@#mjones,m.jones@fct.unl.pt,"Maria Jones"
tlee54,P@ssw0rdLee#12,t.lee@campus.fct.unl.pt,"Tommy Lee"
jdoe,Do3J@5!w1Q,j.doe@fct.unl.pt,"John Doe"
cperez,zXCvbn12!$c.perez,c.perez@fct.unl.pt,"Carlos Perez"
nsmith17,N7m1thS@45,n.smith@campus.fct.unl.pt,"Nina Smith"
kroberts,T1m3t@G0Roberts,k.roberts@fct.unl.pt,"Kathy Roberts"
gdavies,GD@v!3sPw123,g.davies@campus.fct.unl.pt,"George Davies"
lhall99,Larry99@123,hall@fct.unl.pt,"Larry Hall"
wwilliams,w!lliam#99,william@campus.fct.unl.pt,"Wendy Williams"
rwood,Rocky@Wood1234,r.wood@fct.unl.pt,"Ryan Wood"
dgreen42,GreeN3!G42,d.green@fct.unl.pt,"David Green"
jsullivan,JaySullyPass!2,j.sullivan@fct.unl.pt,"Jane Sullivan"
pfoster,P@$$Foster13,p.foster@campus.fct.unl.pt,"Paul Foster"
jmartinez,J!mart1nez123,j.martinez@fct.unl.pt,"Julia Martinez"
emurphy,3M#rphymurph!,e.murphy@fct.unl.pt,"Evan Murphy"
kmitchell,Mitchel!93kmitchell,k.mitchell@campus.fct.unl.pt,"Kara Mitchell"
aanderson,A@AndeRson1,a.anderson@fct.unl.pt,"Alex Anderson"
jsimmons,Simmon$@2021,j.simmons@campus.fct.unl.pt,"Jenny Simmons"
nreynolds,NR3ynolds!88,n.reynolds@fct.unl.pt,"Nathan Reynolds"
rking24,RoyalK!ng24,r.king@fct.unl.pt,"Rachel King"
dbutler,Db!tlerS$99,d.butler@fct.unl.pt,"Daniel Butler"
alewis,L3wisPassw0rd,a.lewis@campus.fct.unl.pt,"Amy Lewis"
tthomas,T0mmyTh0mas!,t.thomas@fct.unl.pt,"Terry Thomas"
pclark,Pl4rk_Pa$$123,p.clark@fct.unl.pt,"Patricia Clark"
bhill,B!ll4Hill4life,b.hill@campus.fct.unl.pt,"Betty Hill"
cscott,C$C0tt@2022,c.scott@fct.unl.pt,"Craig Scott"
hwhite,H@nnahW88,h.white@campus.fct.unl.pt,"Hannah White"
mthompson,Th0mp50n_Mike,m.thompson@fct.unl.pt,"Mike Thompson"
